sample_index,token_id_uint64,mask_id,SALMONELLA_occurrences,DEINOCOCCUS_occurrences,THERMOCOCCUS_occurrences,METHANOSARCINA_occurrences,KLUYVEROMYCES_occurrences,ARABIDOPSIS_occurrences,DROSOPHILA_occurrences,CBRIGGSAE_occurrences
281,9093123580,33,0,0,0,0,0,7,1,4
282,9122597883,33,0,0,0,0,0,24,13,8
283,9124573429,33,0,0,1,1,0,4,1,2
284,9127735412,34,0,0,0,0,0,2,0,1
285,9158248410,34,0,0,0,0,0,0,1,0
286,9177162033,34,0,0,0,0,0,1,0,0
287,9261265504,34,0,0,0,0,0,1,0,0
288,9328132160,34,1,0,0,0,1,130,178,116
289,9330983677,34,0,0,0,0,0,3,1,3
290,9333657084,34,0,0,0,0,0,1,0,0
291,9349493381,34,1,0,0,0,0,1,0,0
292,9389986042,34,0,0,0,0,0,2,2,1
293,9390735343,34,0,0,0,0,0,8,6,4
294,9397500914,35,1,0,0,0,0,3,0,3
295,9453040845,35,0,0,0,0,0,1,0,1
296,9462349823,35,1,0,0,1,37,978,1268,160
297,9497411056,35,0,0,0,0,1,3,2,0
298,9512449360,35,0,0,0,0,0,0,1,0
299,9521141696,35,0,0,0,0,1,0,0,1
300,9600889317,35,0,0,0,0,0,0,0,0
301,9607249851,35,0,0,0,0,0,2,0,2
302,9648456458,35,0,0,0,1,0,0,0,0
303,9661577213,35,1,0,0,5,7,120,29,118
304,9670755168,36,0,0,0,0,0,2,1,4
305,9671262223,36,0,0,0,0,6,12,12,22
306,9743369472,36,0,0,0,0,2,7,4,7
307,9766439884,36,1,0,0,0,0,3,0,1
308,9797834103,36,0,0,0,0,0,4,0,6
309,9881699266,36,0,0,0,0,0,2,1,2
310,9925009424,36,0,0,0,0,0,2,1,0
311,9932934093,37,0,0,0,0,0,4,1,1
312,9951020259,37,0,0,0,0,0,1,0,0
313,10072022945,37,0,0,0,0,2,0,1,0
314,10183778314,37,0,0,0,1,0,7,6,7
315,10203479947,38,0,0,0,0,0,2,1,2
316,10251057104,38,0,0,0,0,0,4,2,2
317,10271668210,38,0,0,0,0,0,2,1,2
318,10297847932,38,0,0,0,0,0,0,0,0
319,10317956108,38,0,0,0,0,0,3,1,2
320,10370186560,38,0,0,0,0,0,0,0,0
321,10383752751,38,0,0,0,0,0,0,1,1
322,10404101146,38,0,0,0,0,0,0,1,3
323,10432416573,38,1,0,0,1,0,1,0,1
324,10468914172,38,1,0,0,0,0,24,33,24
325,10485235703,39,0,0,0,1,2,27,6,38
326,10503269515,39,0,0,0,0,1,8,4,4
327,10504638216,39,1,0,0,0,0,6,2,0
328,10584311699,39,0,0,0,0,2,0,0,0
329,10674637021,39,0,0,0,0,0,0,0,1
330,10703597563,39,0,0,0,0,0,18,51,10
331,10734182261,39,0,0,0,0,0,1,2,0
332,10767788007,40,0,0,0,0,0,0,0,0
333,10816457218,40,0,0,0,0,1,5,0,0
334,10821111768,40,0,0,0,0,0,3,2,0
335,10854892064,40,0,0,1,0,0,4,5,3
336,10871883659,40,0,0,0,0,0,0,1,1
337,10921695691,40,1,0,0,0,0,0,0,0
338,10922688764,40,0,0,0,0,0,6,10,3
339,11006246912,41,0,0,0,1,2,57,71,75
340,11014110245,41,1,0,0,0,1,1,1,2
341,11021973494,41,0,0,0,0,1,0,0,0
342,11116724650,41,0,0,0,0,0,0,0,0
343,11138104602,41,0,0,0,0,1,0,3,0
344,11148488704,41,0,0,1,0,0,30,5,7
345,11208143312,41,0,0,0,0,0,0,1,0
346,11209010595,41,0,0,0,0,0,1,0,0
347,11209440736,41,0,0,1,0,0,0,0,5
348,11219368059,41,1,0,0,0,0,0,0,2
349,11271631095,41,1,0,0,1,0,3,2,1
350,11274993680,42,0,0,0,0,2,19,28,22
351,11319243808,42,0,0,0,0,0,1,1,1
352,11341564929,42,0,0,0,0,0,1,2,2
353,11416929730,42,0,0,1,2,0,0,0,4
354,11442782210,42,0,0,0,0,0,2,3,22
355,11458802444,42,0,0,0,0,0,7,0,0
356,11487346667,42,0,0,0,0,0,1,3,7
357,11508695091,42,0,0,0,0,1,3,2,6
358,11534334276,42,0,0,0,0,0,1,1,1
359,11540590079,42,0,0,0,0,3,15,16,14
360,11541687712,42,0,0,0,0,0,3,1,10
361,11541925884,42,0,0,0,1,2,77,77,29
362,11604336863,43,0,0,0,0,1,2,0,0
363,11643376127,43,1,0,0,1,0,6,12,17
364,11666440183,43,0,0,0,0,0,7,1,4
365,11752505280,43,0,0,0,0,0,22,8,16
366,11797797630,43,0,0,0,0,0,0,0,1
367,11810353392,43,1,0,1,0,0,7,12,13
368,11812146176,44,1,0,0,0,1,75,85,59
369,11812168112,44,0,0,0,0,0,0,1,0
370,11841035679,44,0,0,1,2,1,10,5,5
371,11878451391,44,0,0,0,0,0,3,1,2
372,11884101553,44,0,0,0,0,0,1,0,0
373,11943024637,44,0,0,0,0,0,4,0,2
374,11948294144,44,0,0,1,0,2,50,8,26
375,11992083456,44,0,0,0,0,0,7,2,9
376,12045262642,44,0,0,0,0,1,1,0,4
377,12062867699,44,0,0,0,0,1,37,19,19
378,12075448304,44,0,0,0,1,0,9,11,94
379,12079199036,44,1,0,0,1,0,5,5,3
380,12180722930,45,0,0,0,0,0,0,0,0
381,12199807025,45,0,0,0,0,0,0,0,0
382,12213804736,45,1,0,0,0,1,6,7,16
383,12300896288,45,0,0,0,1,0,4,0,0
384,12382883632,46,0,0,0,0,0,2,6,2
385,12412269530,46,0,0,0,0,0,0,0,0
386,12414107393,46,0,0,0,0,0,16,20,35
387,12465209321,46,0,0,0,0,0,1,11,2
388,12479922037,46,0,0,0,0,0,2,1,3
389,12582666305,46,0,0,0,0,0,1,2,2
390,12583695168,46,0,0,0,0,0,0,4,4
391,12603803407,46,0,0,0,0,0,3,5,0
392,12614355967,46,0,0,0,0,1,19,22,49
393,12617015432,47,0,0,0,0,0,5,1,13
394,12650698751,47,0,0,0,1,0,2,0,3
395,12723155169,47,0,0,0,0,0,1,0,0
396,12748398463,47,0,0,1,0,0,10,5,6
397,12817235743,47,1,0,1,0,0,13,13,5
398,12820972034,47,0,0,0,1,0,8,2,5
399,12873048044,47,0,0,0,0,0,2,0,0
400,12881686676,47,0,0,0,0,0,1,0,1
401,12886147585,48,0,0,0,0,0,12,16,8
402,12930199480,48,0,0,0,0,0,2,1,3
403,12933132748,48,0,0,0,0,0,8,2,8
404,12942311468,48,0,0,0,0,0,4,3,2
405,12964847680,48,0,0,0,0,0,1,3,2
406,13003259681,48,0,0,0,0,0,0,5,1
407,13021213055,48,0,0,0,0,1,4,7,7
408,13067353855,48,1,0,0,0,0,4,6,10
409,13087170900,48,0,0,0,0,0,0,0,0
410,13118912471,48,0,0,0,0,0,2,1,2
411,13152295616,48,0,0,0,0,0,2,8,19
412,13153140787,48,0,0,0,0,0,11,11,43
413,13153333239,48,0,0,0,1,4,53,78,59
414,13153869987,49,0,0,0,1,0,7,2,10
415,13154320383,49,0,0,0,1,2,224,38,87
416,13155629070,49,0,0,0,0,0,4,0,5
417,13165655240,49,0,0,0,0,0,5,1,4
418,13179543392,49,0,0,0,0,0,3,0,0
419,13186093054,49,0,0,0,1,0,4,3,2
420,13186235623,49,0,0,0,0,0,1,0,1
421,13218394161,49,0,0,0,0,0,4,3,0
422,13241933687,49,2,0,0,0,1,4,2,9
423,13342084139,49,0,0,0,0,0,1,1,1
