sample_index,token_id_uint64,mask_id,PSEUDOMONAS_occurrences,MYCOPLASMA_occurrences,METHANOCALDOCOCCUS_occurrences,HALOFERAX_occurrences,NEUROSPORA_occurrences,CELEGANS_occurrences
391,12603803407,46,0,0,0,0,0,0
392,12614355967,46,0,0,1,0,3,36
393,12617015432,47,0,0,1,0,1,3
394,12650698751,47,0,0,0,0,1,0
395,12723155169,47,0,0,0,0,0,0
396,12748398463,47,0,0,1,0,3,8
397,12817235743,47,0,0,0,0,1,9
398,12820972034,47,0,0,0,0,1,4
399,12873048044,47,0,0,0,0,0,1
400,12881686676,47,0,0,0,0,0,0
401,12886147585,48,0,0,0,0,1,14
402,12930199480,48,0,0,0,0,0,1
403,12933132748,48,0,0,0,0,0,3
404,12942311468,48,0,0,0,0,0,5
405,12964847680,48,0,0,0,0,0,0
406,13003259681,48,0,0,0,0,0,1
407,13021213055,48,0,0,0,0,0,10
408,13067353855,48,0,0,0,0,0,3
409,13087170900,48,0,0,0,0,0,0
410,13118912471,48,0,0,0,0,1,0
411,13152295616,48,0,0,0,0,0,42
412,13153140787,48,0,0,3,0,0,44
413,13153333239,48,0,0,1,0,5,27
414,13153869987,49,0,0,0,0,5,4
415,13154320383,49,0,0,0,0,2,231
416,13155629070,49,0,0,0,0,0,6
417,13165655240,49,0,0,0,0,0,0
418,13179543392,49,0,0,0,0,0,0
419,13186093054,49,0,0,0,0,0,7
420,13186235623,49,0,0,0,0,2,1
421,13218394161,49,0,0,0,0,0,1
422,13241933687,49,0,0,0,0,4,5
423,13342084139,49,0,0,0,0,0,1
424,13417589814,49,0,1,0,0,0,2
425,13426434603,50,0,0,0,0,1,2
426,13457096669,50,1,0,0,0,0,0
427,13548290575,50,0,0,0,0,0,1
428,13637110784,50,0,0,0,0,1,3
429,13658799616,50,0,0,0,0,0,9
430,13686062528,50,0,0,0,0,0,67
431,13693330144,51,0,0,0,0,0,2
432,13694142656,51,0,0,0,0,13,31
433,13702791232,51,0,3,2,0,4,107
434,13706248391,51,0,1,0,0,0,4
435,13706452214,51,0,0,0,0,1,2
436,13723749244,51,0,0,0,0,0,17
437,13819313132,51,0,0,0,0,1,0
438,13872739299,51,0,0,0,0,0,0
439,13890735059,51,0,0,1,0,1,4
440,13904904136,51,0,1,0,0,0,5
