sample_index,token_id_uint64,mask_id,ECOLI_occurrences,PYRO_occurrences,YEAST_occurrences,all_three_present
568,18187350269,67,1,1,1,1
569,18189910475,67,1,1,1,1
570,18199884231,67,1,1,1,1
571,18245250090,67,1,1,1,1
572,18253468668,67,1,1,3,1
573,18266196988,68,1,1,2,1
574,18299813921,68,1,1,1,1
575,18316793848,68,1,1,2,1
576,18455232512,68,1,1,3,1
577,18455470963,68,1,1,1,1
578,18470698159,68,1,1,2,1
579,18509428912,68,1,1,1,1
580,18530576386,69,1,1,1,1
581,18578703067,69,1,1,1,1
582,18580826683,69,1,1,2,1
583,18588419070,69,1,1,1,1
584,18642764784,69,1,1,1,1
585,18656251005,69,1,1,5,1
586,18694969782,69,1,1,1,1
587,18756919239,69,1,1,1,1
588,18790479555,69,3,1,1,1
589,18792514311,70,1,1,1,1
590,18801500795,70,1,1,1,1
591,18808228274,70,1,1,1,1
592,18812304704,70,1,1,1,1
593,18890096750,70,1,1,1,1
594,18924041727,70,1,1,1,1
595,19002687517,70,1,2,1,1
596,19058128883,70,1,1,6,1
597,19062079247,71,1,1,1,1
598,19113168835,71,1,1,1,1
599,19127602695,71,1,1,1,1
600,19159711171,71,1,1,1,1
601,19210857602,71,1,1,1,1
602,19268730571,71,1,1,3,1
603,19314768894,71,1,2,2,1
604,19338731528,72,1,1,1,1
605,19346227715,72,1,1,1,1
606,19377733762,72,1,1,2,1
607,19380880072,72,1,1,1,1
608,19457583832,72,1,1,1,1
609,19461358667,72,1,1,1,1
610,19542335487,72,1,1,1,1
611,19583213615,72,1,1,1,1
612,19592557567,72,1,2,1,1
613,19597688819,73,1,1,2,1
614,19608929283,73,1,1,1,1
615,19615467980,73,1,1,1,1
616,19797172835,73,1,1,1,1
617,19798965600,73,1,1,1,1
618,19854905341,73,1,1,2,1
619,19864301584,74,1,1,2,1
620,19906035507,74,1,1,3,1
621,19998428851,74,1,1,1,1
622,20065601532,74,1,1,1,1
623,20066296832,74,1,1,2,1
624,20102259455,74,1,1,1,1
625,20127882748,74,1,1,1,1
626,20129197373,74,1,1,1,1
627,20132888625,75,1,1,1,1
628,20134792577,75,1,1,1,1
629,20166938656,75,1,3,2,1
630,20231175553,75,1,1,1,1
631,20233265147,75,1,1,1,1
632,20262646273,75,1,1,1,1
633,20264746878,75,1,1,10,1
634,20266073989,75,1,1,1,1
635,20319268864,75,1,1,1,1
636,20355421983,75,1,1,3,1
637,20367532017,75,1,1,3,1
638,20384837940,75,1,1,2,1
639,20392574300,75,1,1,1,1
640,20400558047,75,1,2,1,1
641,20412700682,76,1,1,1,1
642,20412747776,76,1,1,2,1
643,20452945916,76,1,1,1,1
644,20599259319,76,1,1,1,1
645,20665537260,76,1,1,1,1
646,20669591164,77,1,1,1,1
647,20682162944,77,1,1,5,1
648,20769636221,77,1,1,1,1
649,20849888083,77,1,1,1,1
650,20858278919,77,1,1,1,1
651,20921198128,77,1,1,2,1
652,20935823359,77,1,1,5,1
653,20963600920,78,1,1,1,1
654,21069822205,78,1,1,1,1
655,21118353854,78,1,1,1,1
656,21140911447,78,1,1,1,1
657,21151789296,78,1,1,1,1
658,21206465567,79,1,1,5,1
659,21420801823,79,1,1,1,1
660,21429534780,79,1,1,1,1
661,21458108431,79,1,1,2,1
662,21472211084,79,1,1,1,1
663,21474835455,79,1,1,33,1
664,21592378615,80,1,1,1,1
665,21611282622,80,2,1,1,1
666,21625175103,80,1,1,1,1
667,21657288664,80,1,1,1,1
668,21743263807,80,1,1,1,1
669,21751923695,81,1,1,1,1
670,21757951455,81,1,1,1,1
671,21776828896,81,1,1,1,1
672,21802573978,81,1,1,1,1
673,21810331135,81,1,3,2,1
674,21861760895,81,1,1,1,1
675,21976020268,81,1,1,1,1
676,22010928495,81,1,1,1,1
677,22012241964,82,1,1,1,1
678,22056534018,82,1,1,1,1
679,22063055044,82,1,1,1,1
680,22064136303,82,1,1,1,1
681,22124438198,82,2,1,1,1
682,22145859711,82,1,1,3,1
683,22174625148,82,1,1,1,1
684,22225485627,82,1,1,1,1
685,22246596616,82,1,1,5,1
686,22279582151,82,1,1,1,1
687,22280684323,83,1,1,1,1
688,22292525184,83,1,1,1,1
689,22313720839,83,1,1,1,1
690,22327099327,83,1,1,1,1
691,22365076246,83,1,1,1,1
692,22394565744,83,1,1,1,1
693,22417475631,83,1,1,2,1
694,22481324031,83,1,1,1,1
695,22483566280,83,1,1,1,1
696,22506492691,83,1,1,1,1
697,22548407387,83,1,1,1,1
698,22549311884,84,1,1,1,1
699,22549577600,84,1,1,3,1
700,22582177024,84,1,1,1,1
701,22594718384,84,1,1,1,1
702,22598874111,84,1,1,2,1
703,22681942026,84,1,1,1,1
704,22682804354,84,1,2,4,1
705,22804389835,84,1,1,1,1
706,22813622079,84,1,1,4,1
707,22813881344,84,1,1,1,1
708,22817541760,85,1,1,2,1
709,22820220880,85,1,1,3,1
710,22833127359,85,1,1,1,1
711,22850711562,85,1,1,1,1
712,22883997744,85,1,1,1,1
713,23070411552,85,1,1,1,1
714,23072014351,85,1,1,2,1
715,23085980674,86,1,1,1,1
716,23086444031,86,2,1,1,1
717,23087542273,86,1,1,2,1
718,23186108511,86,1,1,1,1
719,23217340279,86,2,1,1,1
720,23217512446,86,1,1,1,1
721,23219945470,86,1,1,1,1
722,23292575776,86,1,1,1,1
723,23318222463,86,1,1,1,1
724,23333472126,86,1,1,1,1
725,23347281917,86,1,1,1,1
726,23351183099,86,1,1,1,1
727,23351656320,86,1,1,1,1
