sample_index,token_id_uint64,mask_id,BACILLUS_occurrences,SULFOLOBUS_occurrences,POMBE_occurrences
501,16120074247,60,0,0,0
502,16172709320,60,0,0,0
503,16223502348,60,1,0,1
504,16288505857,60,0,0,0
505,16307408831,60,0,0,2
506,16331841008,60,0,0,0
507,16341028224,60,0,0,0
508,16441684316,61,0,0,0
509,16559145003,61,0,0,1
510,16630449868,61,0,0,0
511,16643752128,62,2,0,2
512,16655452346,62,0,0,0
513,16693117950,62,1,0,1
514,16703845339,62,0,0,0
515,16723471544,62,0,0,0
516,16843784748,62,0,0,0
517,16897802235,62,0,0,0
518,16914609136,63,1,0,0
519,16922960061,63,0,0,0
520,16944448511,63,0,0,2
521,16956260416,63,0,0,0
522,16980049696,63,0,0,3
523,16980671776,63,0,0,3
524,17062419679,63,0,0,0
525,17118698543,63,0,0,0
526,17120217678,63,0,0,0
527,17180000811,64,1,0,1
528,17182753472,64,0,0,4
529,17213165814,64,0,0,2
530,17385517043,64,0,0,1
531,17390159808,64,0,0,0
532,17394695176,64,0,0,0
533,17416269824,64,0,0,0
534,17423124349,64,0,0,0
535,17431027702,64,0,0,0
536,17434804400,64,0,1,1
537,17439266678,64,0,0,0
538,17449320470,65,0,0,0
539,17460048008,65,0,0,0
540,17464036352,65,0,1,5
541,17493668319,65,0,0,0
542,17511350783,65,0,0,1
543,17649487665,65,0,0,0
544,17706252247,65,0,0,2
545,17711564744,65,0,0,1
546,17717723134,66,0,0,3
547,17720933599,66,0,0,2
548,17721068648,66,0,0,0
549,17733791756,66,0,0,0
550,17749246080,66,0,0,1
551,17784927174,66,0,0,0
552,17787112899,66,0,0,0
553,17836033600,66,0,0,0
554,17850174462,66,3,0,0
555,17903399694,66,0,0,0
556,17949897714,66,0,0,1
557,17951643584,66,0,0,0
558,17976652799,66,2,1,4
559,17988321407,67,1,0,5
560,17988453363,67,0,0,0
561,18000642816,67,1,0,2
562,18019135360,67,0,0,0
563,18052334300,67,0,0,1
564,18080791817,67,0,0,0
565,18111016576,67,1,0,0
566,18119259103,67,1,0,0
567,18119377663,67,0,0,4
568,18187350269,67,0,0,2
569,18189910475,67,1,0,0
570,18199884231,67,1,0,1
571,18245250090,67,0,0,0
572,18253468668,67,1,0,0
573,18266196988,68,1,0,4
574,18299813921,68,0,0,1
575,18316793848,68,0,0,1
576,18455232512,68,0,0,3
577,18455470963,68,0,0,0
578,18470698159,68,0,0,0
579,18509428912,68,0,0,1
580,18530576386,69,0,0,0
